Title,Abstract,Authors
"From needs to aspirations in information technology for development
(Previously published in Information Technology for Development 2017)",,Kentaro Toyama (University of Michigan)
Aspirations-Based Design,,"Neha Kumar (Georgia Tech),Marisol Wong-Villacres (Georgia Tech),Naveena Karusala (University of Washington),Aditya Vishwanath (Stanford University),Arkadeep Kumar (Georgia Tech),Azra Ismail (Georgia Tech)"
Fresh Insights: User Research Towards a Market Information Service for Bihari Vegetable Farmers,,"Matthew Ziegler (Loop, University of Washington),Lokesh Garg (Loop),Shailesh Tiwary (Loop),Aditya Vashistha (University of Washington),Kurtis Heimerl (University of Washington)"
Characterization of Internal Migrant Behavior in the Immediate Post-Migration Period using Cell Phone Traces,,"Lingzi Hong (University of Maryland College Park) ,Jiahui Wu (University of Maryland College Park),Enrique Frias-Martinez (Telefonica Research),Andres Villarreal (University of Maryland College Park),Vanessa Frias-Martinez (University of Maryland College Park) "
Embedded CNN based vehicle classification and counting in non-laned road traffic,,"Mayank Singh Chauhan (IIT Delhi),Arshdeep Singh (IIT Delhi),Mansi Khemka (Delhi Technological University),Arneish Prateek (IIT Delhi),Rijurekha Sen (IIT Delhi)"
